fill_time,direction,entry,result_R,mfe_R,mae_R,RR,exit_time,TP1_R,R_abs_bps,R_abs_ATR,body_ratio,close_strength,h1_context,m15_zone
2025-05-07 01:16:00,short,97476.9,-1.3181,7.1737,1.3181,12.5527,2025-05-08 01:00:00,12.552700442350947,25.146324044833403,1.113235580354298,0.35934360348292305,0.8476222371065,bullish,upper_edge
2025-05-14 15:04:00,long,103040.9,-1.3523,0.4355,1.0297,5.4628,2025-05-14 15:05:00,5.462832928303888,22.705824303053205,0.7531916850625143,0.6357315598548564,0.7920193470374779,bullish,lower_edge
2025-05-20 00:26:00,short,105964.3,-1.1423,0.7173,1.0335,1.9591,2025-05-20 01:41:00,1.9590761070265956,56.22082154083881,3.1621019108280213,0.8697502058742859,0.9818830634092819,bullish,upper_edge
2025-05-28 14:27:00,long,107793.6,-1.3403,0.451,1.0796,4.8077,2025-05-28 14:39:00,4.807666290867914,23.510539719294997,0.9106776180698518,0.7721477607061291,0.9362536776724438,bearish,lower_edge
2025-05-30 07:57:00,long,104950.0,-1.2851,1.2673,1.1467,4.4688,2025-05-30 09:42:00,4.46876424988591,28.059892465800612,1.1832281023992763,0.3473722102231785,0.8437724982001665,bearish,lower_edge
2025-06-05 20:26:00,long,101311.1,-1.1632,0.5657,1.1883,7.0762,2025-06-05 20:42:00,7.076211394814011,49.015289115830406,1.2237260389713245,0.39180097011424214,0.9133156000625959,bearish,lower_edge
2025-06-08 14:22:00,short,105834.2,-1.2238,0.6501,1.1744,2.3974,2025-06-08 17:08:00,2.397369827418484,35.73966233437448,3.0386584036266293,0.7870900572618714,0.7873503383654407,bullish,upper_edge
2025-06-13 00:54:00,long,103500.0,-1.2097,1.1398,1.1173,10.8529,2025-06-13 01:05:00,10.852858481724653,38.14396135265639,0.8814244250948721,0.5010000000000097,0.8001666666666764,bearish,lower_edge
2025-06-17 14:36:00,long,105140.7,-1.3481,0.4474,1.4084,6.1147,2025-06-17 14:42:00,6.114650434720835,22.980294840288593,1.0452152149059295,0.4991655850176073,0.9530873354348178,bearish,lower_edge
2025-07-25 03:11:00,long,116300.0,-1.1762,0.0627,1.4939,4.3327,2025-07-25 03:31:00,4.3326882217777065,45.4125414568237,2.187141716212622,0.5546063651591387,0.8994974874371859,bearish,lower_edge
2025-08-01 18:52:00,long,113871.1,-1.3386,1.0761,1.0523,7.3893,2025-08-01 19:15:00,7.389295708830914,23.62533476134876,0.8871578649833283,0.5517484987636662,0.783115506887999,bearish,lower_edge
2025-08-25 20:09:00,long,110601.7,-1.2135,0.4462,1.8009,5.5404,2025-08-25 20:12:00,5.54035909607215,37.46900557844643,1.2667940348042337,0.32542168674699495,0.8439759036144578,bearish,lower_edge
2025-08-26 00:54:00,long,109130.1,-1.2859,0.4998,1.8682,7.26,2025-08-26 01:02:00,7.259974967539635,27.977419350193756,0.8975223097112913,0.3976487876561224,0.8362968405584001,bearish,lower_edge
2025-09-06 16:13:00,long,110285.2,-1.3451,0.1725,1.7022,2.6257,2025-09-06 16:22:00,2.6256869302356316,23.182297223147025,2.191471254515372,0.5377833753148925,1.0,bearish,lower_edge
