timestamp,decision,setup_family,direction,h1_context,m15_zone,edge_id,sweep_id,entry,SL,TP1,R_abs,R_abs_bps,R_abs_ATR,TP1_R,body_ratio,acceptance_close_strength,opposite_wick_ratio,entry_edge_dist_band,acceptance_weakness_count,v10_1_result,v11_result,v11_1_result,duplicate_state,cooldown_state,setup_id,reason_tags
2025-05-01 00:05:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 00:10:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 00:15:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 00:20:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 00:25:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 00:30:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 00:35:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 00:40:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 00:45:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 00:50:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 00:55:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:00:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:05:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:10:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:15:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:20:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:25:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:30:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:35:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:40:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:45:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:50:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 01:55:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:00:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:05:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:10:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:15:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:20:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:25:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:30:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:35:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:40:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:45:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:50:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 02:55:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:00:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:05:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:10:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:15:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:20:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:25:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:30:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:35:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:40:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:45:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:50:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 03:55:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 04:00:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 04:05:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 04:10:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 04:15:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 04:20:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
2025-05-01 04:25:00,WATCH,SRR-1,,unclear,unclear,,,,,,,,,,,,,,,,,,,clear,,m15_range_insufficient
