group,trades,wins,win_rate,total_R,avg_R,profit_factor
00,5,0,0.0,-6.2683,-1.2537,0.0
01,2,0,0.0,-2.5309,-1.2654,0.0
02,3,0,0.0,-3.7774,-1.2591,0.0
03,3,1,0.333,0.7876,0.2625,1.3103
05,1,0,0.0,-1.2007,-1.2007,0.0
07,3,0,0.0,-3.8875,-1.2958,0.0
10,2,0,0.0,-2.5387,-1.2693,0.0
12,1,0,0.0,-1.1009,-1.1009,0.0
13,4,1,0.25,-0.828,-0.207,0.7815
14,6,1,0.167,1.0855,0.1809,1.1701
15,6,1,0.167,1.6858,0.281,1.2733
16,6,1,0.167,-2.5044,-0.4174,0.607
17,1,0,0.0,-1.2845,-1.2845,0.0
18,4,0,0.0,-5.0263,-1.2566,0.0
20,4,0,0.0,-4.7915,-1.1979,0.0
22,2,1,0.5,1.9274,0.9637,2.4808
23,2,1,0.5,8.0526,4.0263,7.4643
