decision_time,fill_time,direction,delta_1m_bars,delta_5m_bars,exit_reason,result_R
2025-05-07 01:10:00,2025-05-07 01:16:00,short,6,1,SL,-1.3181
2025-05-14 14:40:00,2025-05-14 15:04:00,long,24,4,SL,-1.3523
2025-05-20 00:25:00,2025-05-20 00:26:00,short,1,0,SL,-1.1423
2025-05-28 14:25:00,2025-05-28 14:27:00,long,2,0,SL,-1.3403
2025-05-30 07:55:00,2025-05-30 07:57:00,long,2,0,SL,-1.2851
2025-06-05 20:25:00,2025-06-05 20:26:00,long,1,0,SL,-1.1632
2025-06-08 13:55:00,2025-06-08 14:22:00,short,27,5,SL,-1.2238
2025-06-13 00:40:00,2025-06-13 00:54:00,long,14,2,SL,-1.2097
2025-06-17 14:10:00,2025-06-17 14:36:00,long,26,5,SL,-1.3481
2025-06-21 23:40:00,2025-06-21 23:47:00,long,7,1,TP1,9.2983
2025-06-23 16:40:00,2025-06-23 16:41:00,long,1,0,TP1,3.8686
2025-06-26 03:10:00,2025-06-26 03:12:00,short,2,0,TP1,3.3261
2025-07-23 13:55:00,2025-07-23 13:56:00,long,1,0,TP1,2.961
2025-07-25 03:10:00,2025-07-25 03:11:00,long,1,0,SL,-1.1762
2025-08-01 18:25:00,2025-08-01 18:52:00,long,27,5,SL,-1.3386
2025-08-25 20:05:00,2025-08-25 20:09:00,long,4,0,SL,-1.2135
2025-08-26 00:50:00,2025-08-26 00:54:00,long,4,0,SL,-1.2859
2025-09-06 16:10:00,2025-09-06 16:13:00,long,3,0,SL,-1.3451
2025-09-10 13:55:00,2025-09-10 13:58:00,short,3,0,SL,-1.2678
2025-09-12 00:55:00,2025-09-12 00:56:00,short,1,0,SL,-1.2909
2025-09-17 18:25:00,2025-09-17 18:34:00,long,9,1,SL,-1.1697
2025-10-09 14:55:00,2025-10-09 15:16:00,long,21,4,SL,-1.174
2025-10-11 07:25:00,2025-10-11 07:28:00,long,3,0,SL,-1.2741
2025-10-14 10:40:00,2025-10-14 10:43:00,long,3,0,SL,-1.2651
2025-10-14 14:25:00,2025-10-14 14:44:00,short,19,3,SL,-1.241
2025-10-16 16:40:00,2025-10-16 16:41:00,long,1,0,SL,-1.2155
2025-10-20 16:55:00,2025-10-20 17:23:00,long,28,5,SL,-1.2845
2025-10-28 02:55:00,2025-10-28 03:15:00,long,20,4,SL,-1.3623
2025-11-04 18:25:00,2025-11-04 18:26:00,long,1,0,SL,-1.2113
2025-11-04 20:20:00,2025-11-04 20:21:00,long,1,0,SL,-1.1479
2025-11-07 17:40:00,2025-11-07 18:03:00,short,23,4,SL,-1.3067
2025-11-19 05:55:00,2025-11-19 05:56:00,long,1,0,SL,-1.2007
2025-11-20 09:55:00,2025-11-20 10:08:00,long,13,2,SL,-1.2736
2025-11-21 07:25:00,2025-11-21 07:26:00,long,1,0,SL,-1.3283
2025-11-23 14:10:00,2025-11-23 14:36:00,short,26,5,SL,-1.2298
2025-11-28 16:35:00,2025-11-28 16:58:00,long,23,4,SL,-1.3615
2025-12-01 12:55:00,2025-12-01 12:56:00,long,1,0,SL,-1.1009
2025-12-03 02:10:00,2025-12-03 02:12:00,short,2,0,SL,-1.3279
2025-12-03 22:55:00,2025-12-03 22:57:00,short,2,0,TP1,3.229
2025-12-10 00:55:00,2025-12-10 00:56:00,long,1,0,SL,-1.3395
2025-12-18 02:25:00,2025-12-18 02:35:00,short,10,2,SL,-1.201
2025-12-18 14:05:00,2025-12-18 14:06:00,short,1,0,TP1,7.4685
2026-01-09 15:40:00,2026-01-09 15:41:00,short,1,0,SL,-1.2159
2026-01-16 15:40:00,2026-01-16 15:41:00,long,1,0,SL,-1.2267
2026-01-25 16:25:00,2026-01-25 16:27:00,long,2,0,SL,-1.2119
2026-01-31 16:20:00,2026-01-31 16:48:00,long,28,5,SL,-1.239
2026-03-09 13:40:00,2026-03-09 13:41:00,short,1,0,SL,-1.2139
2026-03-10 15:10:00,2026-03-10 15:34:00,short,24,4,TP1,7.8548
2026-03-13 22:10:00,2026-03-13 22:14:00,long,4,0,SL,-1.3016
2026-03-15 02:55:00,2026-03-15 02:56:00,short,1,0,SL,-1.2485
2026-03-16 12:40:00,2026-03-16 13:03:00,short,23,4,SL,-1.3073
2026-03-24 14:55:00,2026-03-24 15:00:00,long,5,1,SL,-1.2001
2026-04-07 23:05:00,2026-04-07 23:11:00,short,6,1,SL,-1.2457
2026-04-10 20:40:00,2026-04-10 20:56:00,short,16,3,SL,-1.2669
2026-04-12 01:55:00,2026-04-12 01:57:00,long,2,0,SL,-1.2128
